mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,equipo,fecha,url
240,41,82,.500,19,40,.475,12,18,.667,8,37,45,29,4,5,15,21,113,,,ATL,20240401,https://www.basketball-reference.com/boxscores/202404010CHI.html
240,37,94,.394,7,28,.250,20,24,.833,16,35,51,17,8,2,8,17,101,,,CHI,20240401,https://www.basketball-reference.com/boxscores/202404010CHI.html
240,43,89,.483,19,53,.358,13,16,.813,11,40,51,28,3,3,11,15,118,,,BOS,20240401,https://www.basketball-reference.com/boxscores/202404010CHO.html
240,41,91,.451,13,37,.351,9,11,.818,8,32,40,28,3,2,7,15,104,,,CHO,20240401,https://www.basketball-reference.com/boxscores/202404010CHO.html
240,40,91,.440,11,33,.333,19,23,.826,15,29,44,28,11,9,13,18,110,,,MEM,20240401,https://www.basketball-reference.com/boxscores/202404010DET.html
240,40,79,.506,11,28,.393,17,22,.773,9,32,41,22,7,9,14,16,108,,,DET,20240401,https://www.basketball-reference.com/boxscores/202404010DET.html
240,41,87,.471,10,26,.385,19,28,.679,12,31,43,20,3,4,15,19,111,,,BRK,20240401,https://www.basketball-reference.com/boxscores/202404010IND.html
240,53,103,.515,13,31,.419,14,17,.824,14,33,47,35,6,9,10,21,133,,,IND,20240401,https://www.basketball-reference.com/boxscores/202404010IND.html
240,43,87,.494,18,47,.383,20,25,.800,16,33,49,29,7,6,14,21,124,,,PHO,20240401,https://www.basketball-reference.com/boxscores/202404010NOP.html
240,42,89,.472,11,27,.407,16,24,.667,12,25,37,29,10,1,9,17,111,,,NOP,20240401,https://www.basketball-reference.com/boxscores/202404010NOP.html
240,40,90,.444,11,31,.355,12,15,.800,11,33,44,28,9,3,11,21,103,,,POR,20240401,https://www.basketball-reference.com/boxscores/202404010ORL.html
240,36,76,.474,11,32,.344,21,27,.778,9,34,43,26,4,6,16,17,104,,,ORL,20240401,https://www.basketball-reference.com/boxscores/202404010ORL.html
240,42,105,.400,13,44,.295,8,16,.500,15,44,59,33,4,12,8,19,105,,,SAS,20240402,https://www.basketball-reference.com/boxscores/202404020DEN.html
240,43,98,.439,11,34,.324,13,16,.813,11,41,52,28,5,10,8,15,110,,,DEN,20240402,https://www.basketball-reference.com/boxscores/202404020DEN.html
240,39,89,.438,15,40,.375,7,11,.636,8,34,42,27,8,7,15,14,100,,,DAL,20240402,https://www.basketball-reference.com/boxscores/202404020GSW.html
240,41,90,.456,15,32,.469,7,7,1.000,11,41,52,29,9,4,17,18,104,,,GSW,20240402,https://www.basketball-reference.com/boxscores/202404020GSW.html
240,35,76,.461,12,34,.353,17,21,.810,7,23,30,25,11,2,14,17,99,,,NYK,20240402,https://www.basketball-reference.com/boxscores/202404020MIA.html
240,36,74,.486,17,38,.447,20,21,.952,7,32,39,24,5,4,18,17,109,,,MIA,20240402,https://www.basketball-reference.com/boxscores/202404020MIA.html
240,41,92,.446,14,48,.292,10,14,.714,12,25,37,23,10,0,15,23,106,,,HOU,20240402,https://www.basketball-reference.com/boxscores/202404020MIN.html
240,41,77,.532,11,26,.423,20,22,.909,6,33,39,29,12,5,18,17,113,,,MIN,20240402,https://www.basketball-reference.com/boxscores/202404020MIN.html
240,37,87,.425,13,39,.333,18,22,.818,12,31,43,30,10,9,15,18,105,,,OKC,20240402,https://www.basketball-reference.com/boxscores/202404020PHI.html
240,36,78,.462,14,30,.467,23,25,.920,9,33,42,27,8,4,18,20,109,,,PHI,20240402,https://www.basketball-reference.com/boxscores/202404020PHI.html
240,31,76,.408,11,27,.407,22,27,.815,9,29,38,18,6,1,16,21,95,,,LAC,20240402,https://www.basketball-reference.com/boxscores/202404020SAC.html
240,39,92,.424,12,42,.286,19,25,.760,20,36,56,29,10,6,10,18,109,,,SAC,20240402,https://www.basketball-reference.com/boxscores/202404020SAC.html
240,52,101,.515,18,41,.439,6,12,.500,13,34,47,38,6,8,15,17,128,,,LAL,20240402,https://www.basketball-reference.com/boxscores/202404020TOR.html
240,43,89,.483,10,32,.313,15,21,.714,5,35,40,25,11,6,17,19,111,,,TOR,20240402,https://www.basketball-reference.com/boxscores/202404020TOR.html
